# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	3108	142	3152	224	0
11111	1886	142	1930	224	0

#WALKING RIGHT
11222	3160	142	3211	224	0
11223	3217	142	3268	224	0

#WALKING LEFT
11212	1829	142	1878	224	0
11213	1773	142	1822	224	0

#RUNNING RIGHT
11321	3160	142	3211	224	0
11322	3217	142	3268	224	0
11323	3388	142	3448	224	0

#RUNNING LEFT
11311	1829	142	1878	224	0
11312	1773	142	1822	224	0
11313	1591	142	1651	224	0

#JUMP WALK RIGHT & LEFT
11417	3330	142	3383	224	0
11413	1655	142	1708	224	0

#JUMP RUN RIGHT & LEFT
11427	4129	142	4114	224	0
11423	858	142	920	224	0

#SIT RIGHT & LEFT 
11521	3656	142	3700	224	0
11511	1340	142	1384	224	0

#BRACE RIGHT & LEFT 
11621	3274	142	3326	224	0
11611	1713	142	1765	224	0

#KICK RIGHT & LEFT 
11721	993	142	1056	224	0
11711	3983	142	4048	224	0

#DIE
13001	1224	25	1271	71	0

#IDLE PICK UP SHELL				
13100	1176	142	1218	224	0
13101	3822	142	3864	224	0

#RUN PICK UP SHELL					
13200	1122	142	1167	224	0
13201	3873	142	3918	224	0

#JUMP PICK UP SHELL				
13300	1065	142	1113	224	0
13301	3927	142	3975	224	0

#FRONT PICK UP SHELL
13400	1226	142	1276	224	0

############ SMALL ################
 #IDLE
121211	3280	25	3319	71	0
121111	1720	25	1760	71	0

#WALK RIGHT
12222	3324	25	3374	71	0
12223	3324	25	3374	71	0

#WALK LEFT
12212	1665	25	1715	71	0
12213	1665	25	1715	71	0

#RUN RIGHT
12321	3324	25	3374	71	0
12322	3324	25	3374	71	0
12323	3487	25	3536	71	0

#RUN LEFT
12311	1665	25	1715	71	0
12312	1665	25	1715	71	0
12313	1500	25	1553	71	0

#BRACE RIGHT & LEFT
12511	1613	25	1661	71	0
12521	3378	25	3424	71	0

#KICK RIGHT & LEFT
12611	1062	25	1110	71	0
12621	3928	25	3978	71	0

#JUMP WALK RIGHT & LEFT 
12413	1557	25	1610	71	0
12417	3429	25	3480	71	0

#JUMP RUN RIGHT & LEFT 
12423	946	25	998	71	0
12427	4041	25	4093	71	0

#IDLE PICK UP SHELL
12431	1173	25	1212	71	0
12432	3823	25	3868	71	0

#RUN + JUMP PICK UP SHELL
12433	1119	25	1164	71	0
12434	3875	25	3921	71	0

#FRONT PICK UP SHELL
12435	1280	25	1330	71	0

########### RACCOON MARIO ##############					
#idle					
14001	2217	426	2280	510	0
14021	2759	426	2820	510	0
#walk					
14002	2142	426	2208	510	0
14003	2064	426	2133	510	0
14022	2830	426	2900	510	0
14033	2905	426	2977	510	0
#sit
14004	887	456	954	510	0					
14044	4086	456	4153	510	0
#jump					
14005	1678	426	1749	510	0
14055	3290	426	3366	510	0
#drop					
14006	1602	426	1671	510	0
14007	1524	426	1593	510	0
14008	1449	426	1515	510	0
14066	3367	426	3439	510	0
14077	3447	426	3516	510	0
14088	3524	426	3591	510	0
#run-pre-fly					
14009	1368	426	1440	510	0
14010	1287	426	1359	510	0
14011	1206	426	1278	510	0
14099	3600	426	3672	510	0
14110	3680	426	3753	510	0
14111	3761	426	3834	510	0
#fly					
14012	1125	426	1197	510	0
14013	1044	426	1116	510	0
14014	963	426	1035	510	0
14112	3842	426	3915	510	0
14113	3922	426	3997	510	0
14114	4003	426	4087	510	0
#brace					
14015	2007	422	2055	510	0
14115	2983	422	3033	510	0
#spin					
14016	2191	320	2287	405	0
14017	2191	219	2287	304	0
14018	2191	112	2287	197	0
14116	2752	320	2820	405	0
14117	2781	219	2829	304	0
14118	2779	112	2850	197	0
#kick					
14019	531	426	598	510	0
14119	4442	426	4510	510	0

#idle					
14220	759	426	823	510	0
14120	4218	426	4281	510	0
#run					
14221	684	426	751	510	0
14121	4290	426	4356	510	0
#jump					
14222	606	426	676	510	0
14122	4365	426	4434	510	0
#front
14223	3042	426	3090	510	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#KICK RIGHT & LEFT
1110	11721	100
1101	11711	100

#DIE
999	13001	100

#IDLE PICK UP SHELL
12000	13100	100
12010	13101	100

#WALK PICK UP SHELL
13000	13100	100	13200	100
13010	13101	100	13201	100

#JUMP PICK UP SHELL
14000	13300	100
14010	13301	100

#FRONT PICK UP SHELL
15000	13400	100

################### SMALL #################
1100	121211	100
1102	121111	100


#WALK LEFT & RIGHT 
1200	121211	100	12222	100	12223	100
1201	121111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK
1700	12611	100
1701	12621	100

#IDLE PICK UP SHELL
18000	12431	100
18010	12432	100

#WALK PICK UP SHELL
19000	12431	100	12433	100
19010	12432	100	12434	100

#JUMP PICK UP SHELL
20000	12433	100
20010	12434	100

#FRONT PICK UP SHELL
21000	12435	100
################### RACCOON #################
#idle
160	14001	100
1160	14021	100
#walk
161	14001	100	14002	100	14003	100
1161	14021	100	14022	100	14033	100
#sit
162	14004	100
1162	14044	100
#jump
163	14005	100
1163	14055	100
#run
164	14001	30	14002	30	14003	30
1164	14021	30	14022	30	14033	30
#drop
165	14006	40	14007	40	14008	40
1165	14066	40	14077	40	14088	40
#pre-fly
166	14009	30	14010	30	14011	30
1166	14099	30	14110	30	14111	30
#fly
167	14012	100	14013	100	14014	100
1167	14112	100	14113	100	14114	100
#brace
168	14015	100
1168	14115	100
#spin
169	14016	70	14017	70	14018	70
1169	14116	70	14117	70	14118	70
#kick
170	14019	1000
1170	14119	1000
#IDLE PICK UP SHELL
1710	14220	100
11710	14120	100

#WALK PICK UP SHELL
1720	14220	100	12221	100
11720	14120	100	12121	100

#JUMP PICK UP SHELL
1730	14222	100
11730	14122	100

#FRONT PICK UP SHELL
1740	14223	100
